# ALL AVAILABLE OUTPUT SETTINGS.
# Last updated: 2017-7-12
# MODULECLASS: MODULE CLASS, e.g., PET.
# OUTPUTID: VARIABLE NAME FOR OUTPUT
# DESCRIPTION: DESCRIPTION of OUTPUT
# UNIT: DEFAULT UNIT
# TYPE: DATA AGGREGATION TYPE, e.g., SUM, AVE, MAX, NONE, etc. Types divided by '-', e.g., "SUM-AVE".
# STARTTIME: DATA DERIVED TIME START, FORMAT MUST BE "YYYY-MM-DD HH:MM:SS", e.g., 2011-01-01 00:00:00 
# ENDTIME: DATA DERIVED TIME END, SEE STARTTIME
# SUBBASIN: SELECTED SUBBASIN ID(s). 'ALL', 'OUTLET' ARE SELECTABLE, OR SUBBASIN ID NUMBERS SPLIT BY '-',0 IS EQUAL TO 'ALL'.
# FILENAME: OUTPUT FILENAME WITH SUFFIX, e.g., txt, asc, tif. FINAL FILENAME WILL BE APPENDED BY TYPE!
# USE：OUTPUT OR NOT. DEFAULT IS 0, i.e., NOT USED. CHANGE TO 1 IF IT IS WANTED!

MODULE_CLASS,OUTPUTID,DESCRIPTION,UNIT,TYPE,STARTTIME,ENDTIME,INTERVAL,INTERVAL_UNIT,SUBBASIN,FILENAME,USE
NutrientTransport,SEDORGNTOCH,organic nitrogen in surface runoff moved to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SEDORGNTOCH.txt,0
NutrientTransport,SEDORGPTOCH,organic phosphorus in surface runoff moved to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SEDORGPTOCH.txt,0
NutrientTransport,SEDMINPATOCH,active mineral phosphorus sorbed to sediment in surface runoff moved to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SEDMINPATOCH.txt,0
NutrientTransport,SEDMINPSTOCH,stable mineral phosphorus sorbed to sediment in surface runoff moved to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SEDMINPSTOCH.txt,0
NutrientTransport,SUR_COD,carbonaceous oxygen demand of surface runoff,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_COD.tif,0
NutrientTransport,SUR_NO3,nitrate transported with surface runoff,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_NO3.tif,0
NutrientTransport,SUR_NH4,nitrate transported with surface runoff,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_NH4.tif,0
NutrientTransport,SUR_SOLP,phosphorus stored in solution with surface runoff,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_SOLP.tif,0
NutrientTransport,LATNO3,nitrate transported with lateral flow,kg/ha,SUM-AVE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,LATNO3.tif,0
NutrientTransport,PERCO_N_GW,nitrate percolating past bottom of soil profile,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,PERCO_N_GW.txt,0
